category_id,name_he,name_en
groceries,סופר וקניות מזון,Groceries
restaurants,מסעדות ובתי קפה,Restaurants & Cafes
transport,תחבורה ודלק,Transport & Fuel
housing,דיור וחשבונות,Housing & Bills
kids,ילדים,Kids
health,בריאות ופארמה,Health & Pharmacy
entertainment,בילויים ופנאי,Entertainment
clothing,ביגוד,Clothing
electronics,אלקטרוניקה וגאדג'טים,Electronics
subscriptions,מנויים דיגיטליים,Subscriptions
insurance,ביטוחים,Insurance
gifts,מתנות ותרומות,Gifts & Donations
income,הכנסות,Income
other,אחר,Other
